Ion,m/z
a1,51.0391
a2,115.0684
a3,163.5948
a4,221.1083
a5,249.6190
a6,306.1610
a7,341.6796
a8,391.2138
a9,440.7480
a10,469.2587
a11,518.7929
a12,592.3271
a13,648.8692
a14,712.9166
a15,762.4509
a16,790.9616
a17,848.4751
a18,883.9936
a19,941.0151
a20,989.5415
a21,1025.0600
a22,1081.6020
a23,1145.6313
a24,1209.6788
a25,1259.2130
a26,1315.7551
a27,1373.2685
a28,1408.7871
a29,1465.3291
a30,1522.8426
a31,1566.3586
a32,1622.9006
a33,1686.9481
a34,1737.4720
a35,1801.5194
a36,1830.0302
a37,1894.0776
a38,1937.5937
a39,1988.1175
a40,2045.6310
a41,2119.1652
a42,2167.6916
a43,2224.7130
a44,2298.2472
a45,2355.7607
a46,2404.2871
a47,2432.7978
a48,2476.3138
a49,2532.8559
a50,2589.3979
a51,2637.9243
b1,65.0366
b2,129.0659
b3,177.5922
b4,235.1057
b5,263.6164
b6,320.1585
b7,355.6770
b8,405.2112
b9,454.7454
b10,483.2562
b11,532.7904
b12,606.3246
b13,662.8666
b14,726.9141
b15,776.4483
b16,804.9590
b17,862.4725
b18,897.9911
b19,955.0125
b20,1003.5389
b21,1039.0575
b22,1095.5995
b23,1159.6288
b24,1223.6763
b25,1273.2105
b26,1329.7525
b27,1387.2660
b28,1422.7845
b29,1479.3266
b30,1536.8400
b31,1580.3561
b32,1636.8981
b33,1700.9456
b34,1751.4694
b35,1815.5169
b36,1844.0276
b37,1908.0751
b38,1951.5911
b39,2002.1150
b40,2059.6284
b41,2133.1626
b42,2181.6890
b43,2238.7105
b44,2312.2447
b45,2369.7582
b46,2418.2845
b47,2446.7953
b48,2490.3113
b49,2546.8533
b50,2603.3954
b51,2651.9217
y1,67.0364
y2,115.5628
y3,172.1048
y4,228.6468
y5,272.1629
y6,300.6736
y7,349.2000
y8,406.7134
y9,480.2476
y10,537.2691
y11,585.7955
y12,659.3297
y13,716.8432
y14,767.3670
y15,810.8830
y16,874.9305
y17,903.4412
y18,967.4887
y19,1018.0126
y20,1082.0600
y21,1138.6021
y22,1182.1181
y23,1239.6316
y24,1296.1736
y25,1331.6921
y26,1389.2056
y27,1445.7476
y28,1495.2819
y29,1559.3293
y30,1623.3586
y31,1679.9007
y32,1715.4192
y33,1763.9456
y34,1820.9671
y35,1856.4856
y36,1913.9991
y37,1942.5098
y38,1992.0440
y39,2056.0915
y40,2112.6335
y41,2186.1677
y42,2235.7020
y43,2264.2127
y44,2313.7469
y45,2363.2811
y46,2398.7997
y47,2455.3417
y48,2483.8524
y49,2541.3659
y50,2589.8923
y51,2653.9216
